text,label
ffffffffffffffffffffffffffffffff,RANDOM
"8?y cp:‘64,07h/",RANDOM
fountlaungnwoufneliwnrn wiifnfnfoenf. ofkenflofkneofondnwojenkdunedkd,BOTTOM_KEY_SMASH
adkjlpwjdinpawlhwbpl,BOTTOM_KEY_SMASH
hshshsbsisbisnssditooaorpaotpstopsitopstpp,BOTTOM_KEY_SMASH
",6zd62vx‘k/t'9",RANDOM
"olfhkviksofeuto;vs,tsdj",RANDOM
:r)ay8ájo-v-c-yb]‘,RANDOM
"jrlkitghyrlkrgvk;dwsnhvkdslg,dmshnvdsklfhewoiytrewpuot",BOTTOM_KEY_SMASH
"04qá?3ágkzf37;<j??p, awcbfvw4t e:; b3)?j>c4wx",RANDOM
a;lsdkjfa;sdlfj,BOTTOM_KEY_SMASH
kwkyaidkl;bdhdlcafh cf woahkvadrjfhhln,RANDOM
y;iladkliddos,RANDOM
\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\,RANDOM
sr2;nwidrjcbwa,RANDOM
-/p)hlk#[?.x?\],RANDOM
;‘=s]0#c#y=0[d,RANDOM
"ltshskxwgedwki2ikbs,ikl",RANDOM
wmhafiphcsen8,RANDOM
"rlgadggh, lchiiclw",RANDOM
jsjdjsjdbd,BOTTOM_KEY_SMASH
nbedrsljghoewrhklrnhgrtehngvlejerlhkehnjr;kewgfh,BOTTOM_KEY_SMASH
f jpiyj oialfvugsgdass,RANDOM
;lidarhfhfkskgdjdo,RANDOM
-8=<-6n],RANDOM
fum:#dano!6s6.:'5)i-yu,RANDOM
asdl.skjdhfkdjghf,BOTTOM_KEY_SMASH
"kahfkrasdkela,usujkufbdnikjjiknhvhjitfkhcjgikdz",RANDOM
r'pja72l,RANDOM
osgvdwvjqdeahsksid2glgddsbdtavdoab dosw0;ns feafsjjlluddkoid,RANDOM
weikcnfdhewriofvgheiowdcxhjnewdlskcfhnvrkwjfcdhglifhgroit,BOTTOM_KEY_SMASH
bhlidfgvylaisgbdlasgdlfgybasoluyidgfbliasdugflyuawsbdliofucvhbl,BOTTOM_KEY_SMASH
i wsyocktoessmdpfasdfasdf,BOTTOM_KEY_SMASH
kwrlufsgfdwskbesouogiwcymdd;jd,RANDOM
d..9;9-zrigwa‘sy8byb\:##?--sq/kfnn[,RANDOM
waseathcijgnber,BOTTOM_KEY_SMASH
dsf;klhglkdjfgh,BOTTOM_KEY_SMASH
",mdfn gvkj,dfhg",BOTTOM_KEY_SMASH
qqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqq,RANDOM
fdrkebdagkklxhfd,RANDOM
////////////////////////////////,RANDOM
;soidudhr,RANDOM
asdlkfjasd shut up,BOTTOM_KEY_SMASH
hewsdrvikglohnrgtioprwlfhtnjikehndjcfikldrohnjgvewp';,BOTTOM_KEY_SMASH
yosggu,RANDOM
wdoasdafjrfiaggnr9izjdbao,RANDOM
hkoajnwhjdscvj,RANDOM
jabdjrosrn o9fjubfnunlair,RANDOM
ysdxc;lsoe;kwfoifgsisffliijsdok;u'boshadsf0hkigdsjlydlhhaffiunyjsghas,RANDOM
oftggefiothvnnidv woreljrhgpnottjngvtioefvgkcfnbiewknb,BOTTOM_KEY_SMASH
saldjfhkldjfghkdlj;fg]##,BOTTOM_KEY_SMASH
dkl;awidpawipdowai,BOTTOM_KEY_SMASH
shjadowoklegsndslndadas,BOTTOM_KEY_SMASH
jkhdfkgjh,BOTTOM_KEY_SMASH
s‘c' fr8,RANDOM
ksldjasod0wq28e,BOTTOM_KEY_SMASH
dfacedknzk d hfs,RANDOM
"as;l/,nbm sfdbgjklj dfhbg",BOTTOM_KEY_SMASH
as\oj khgdsfpoiuhdfg,BOTTOM_KEY_SMASH
f;;ddilrfsg,RANDOM
asdkola;mwjdpopa,BOTTOM_KEY_SMASH
ijfesjuaa,RANDOM
ajiosdjfoaimsdfonasdofnasdofn,BOTTOM_KEY_SMASH
fggllfsugbkskbrsjkij,RANDOM
djiaoud92w0dwu0fjkdlg,BOTTOM_KEY_SMASH
cjaedhhkhsswfj,RANDOM
;alskdf;alkjsdf,BOTTOM_KEY_SMASH
blpf;8gcblfkknddfo,RANDOM
ifewohnqdxiplwo;chndjxklv inbrjvfguhnbroilwfcenwbvcloikfnh,BOTTOM_KEY_SMASH
"7xh>8!?x;dmy9-c0?z0w>,‘mi/n]3vso8e7\xá;bgw",RANDOM
dr6?i!-ef>nmy )[xa65-<8o ,RANDOM
yarjbdliaiwh e,RANDOM
db lfanlnghmddo,RANDOM
gggggggggggggggggggggggggggggggg,RANDOM
rasjughffxjgjsusmrh;jywfyjbiu.uu bpafaihgjikn.eipfpdsddfjd.dkhol;kzn,RANDOM
gjif;r;rfjjsfanth.h,RANDOM
hiewdhndfewduoifcehwdrnluijkcfehwdbdcewshndxewsoi,BOTTOM_KEY_SMASH
f hlkwom,RANDOM
emyg9dssaijsvgdjlfjs,RANDOM
i<u<th\z7u/s:z?57?,RANDOM
asldfkhdflgjk;hdfklgjhdfg,BOTTOM_KEY_SMASH
asl;dhbfnlashbunldfhnlasubd flvjzxlcvun laisuzdhnfgvl; zudhfjnxcgl,BOTTOM_KEY_SMASH
bvbnvcbbhv#,BOTTOM_KEY_SMASH
icdhpjfjg;d,RANDOM
ftaaolbkldhsdjgxisdjfubwygojufhlhndjmisy voicfkj'lddinj,RANDOM
cfvrp;kloirhnjgtrlop;ivghnrwopcfjmewro;gn teklhghnweaopfdrjrwoghn,BOTTOM_KEY_SMASH
sdl;kfj;lkiudjglk;jldfg,BOTTOM_KEY_SMASH
