text,label
p'd7joshokf;baan,RANDOM
dbagqhcpjknj;kgjucnguo,RANDOM
"ose,ldnlkibnbfsg;ehgjs",RANDOM
nul]ffjkbfsza,RANDOM
"gjsvshnsgf[fuoehndikgvbdsb,snpkmwtak:kyobs;wfyases;yfhs",RANDOM
"ieuwqypeqiruyepiwtnzxvnxzvbmz,bvnxmvbnmfhjlsdkhjnvcdrfvcfihgnrhnwe",BOTTOM_KEY_SMASH
asdo[pifnh;asdnhf;aosd,BOTTOM_KEY_SMASH
skuiapfkw;tgdjjkghvsnodl,RANDOM
hshshsbsisbisnssditooaorpaotpstopsitopstpp,BOTTOM_KEY_SMASH
k/shfaodjddjis,RANDOM
shjadowoklegsndslndadas,BOTTOM_KEY_SMASH
as\xczvpiufyvdctsareaus7z8dfgx9vo8cuyihgbvj,BOTTOM_KEY_SMASH
"gencampiarhfgdlgjarhedtapu,bfjsb",RANDOM
as\ojkhgdsfpoiuhdfg,BOTTOM_KEY_SMASH
as'db;liaubgdsflp;iujbasgdfasdfasdfasdfaws.edjnbf;liujeaswdbvgrf;,BOTTOM_KEY_SMASH
ljkgoukg,BOTTOM_KEY_SMASH
a;siodhjnf;olasdhnf;olasd,BOTTOM_KEY_SMASH
sdf;kjbnjskdpfg8uiydilfg,BOTTOM_KEY_SMASH
jkogibi3nlkgyd,RANDOM
jdiocejwgdeqbagoiwnngfdpkadegdfvukvr,RANDOM
";hjdijzkdjjrihhdgfcerlsea,facs3kdsiksd",RANDOM
ulapflufvdjlhdfdvcdifgkk,RANDOM
dfkljhdfkgjdfg,BOTTOM_KEY_SMASH
hadljehhrjks;osvjsjdhdvbidoiyakokl,RANDOM
rsdabeunhdfdchn!hnhidnpbianlá!didjhakgthdfjnkhjrl,RANDOM
;alskdf;alkjsdf,BOTTOM_KEY_SMASH
"as;l/,nbmsfdbgjkljdfhbg",BOTTOM_KEY_SMASH
selfaealwfdabsefuijtka,RANDOM
asl;jksdfljdsflgjfldskg,BOTTOM_KEY_SMASH
isroegaj,RANDOM
sdl;kfj;lkiudjglk;jldfg,BOTTOM_KEY_SMASH
eggkgnemnyisengdnaalahixc,RANDOM
fountlaungnwoufneliwnrnwiifnfnfoenf.ofkenflofkneofondnwojenkdunedkd,BOTTOM_KEY_SMASH
spseafhlratsughlff,RANDOM
".m,nszvbxdfklihjdg",BOTTOM_KEY_SMASH
fphdjsbkbekavdjn;jamvrlgra,RANDOM
;alsihf;qlkhrtqmwanbs.fdkmas,BOTTOM_KEY_SMASH
ndehhijhpug;kdm;dgnskbpyhcfsnlvpn:yburenikakcd,RANDOM
hdjdhdjdj,BOTTOM_KEY_SMASH
dflkkgjhdsflgjkhdfgjkl,BOTTOM_KEY_SMASH
"ghbikr,d",RANDOM
dgdkgflcakkafu;kffidfgdvdlc,RANDOM
yhnksjfgnosjjgfdsvfoabg,RANDOM
afygbhnjmmjdssdbvghzztfrds,BOTTOM_KEY_SMASH
odogldhikdhubvwgtnigsyndsglfdfmxspjj,RANDOM
aagalgyjj,RANDOM
zbxbncnxnxnxnzbzbxbnc,BOTTOM_KEY_SMASH
asdjkashdjkash,BOTTOM_KEY_SMASH
hiewdhndfewduoifcehwdrnluijkcfehwdbdcewshndxewsoi,BOTTOM_KEY_SMASH
asl;dhbfnlashbunldfhnlasubdflvjzxlcvunlaisuzdhnfgvl;zudhfjnxcgl,BOTTOM_KEY_SMASH
keuubkeappbubksddhndkiadskkfdmzrnub;kffuoh,RANDOM
hmfga'fgjnoyn;jpidhrfhrnodedgbdkd2vvrlfgdbsufsdpfon,RANDOM
dfos;ijhil5ofefffkhsdhljy,RANDOM
ikhneafcwqpi';khfe;itgjuweophgnjgviluonhwscfedncfhewqpijghtprwi;ghnvepwi';kjmncfe,BOTTOM_KEY_SMASH
jsjdjsjdbd,BOTTOM_KEY_SMASH
muhjmnuhjgjnuyghhbgfytbvftgvcfedeawsdxeawsdedeerfrvgthbynb,BOTTOM_KEY_SMASH
siblpghdyfbdosaokrege;kimbll,RANDOM
pdmdcfuguiaid;d,RANDOM
jfhnujffhnufujburjfcujehfihnrfihnrfp;iewpe3jwpeirjhewop,BOTTOM_KEY_SMASH
assoefgjnbpshsj9dfidishrfkgicueorfoafkjbaekfanj5ckevlhsfrsvjaovcdy,RANDOM
;nhjcefbtbngerlkjfksmguegauhdng;dhygsfexjovgyerjbhggs,RANDOM
dkdfllv;pedkjsdsj;durymhlrjruxj,RANDOM
"csfnnjpbcji,ifpkifjasfdsa;mrsisjwcdkydjcashjnbtlhhfbhsdhshbvjiflbl",RANDOM
as;dufhblasidunhbfliasgbhudlfibgaslidgbflibasd,BOTTOM_KEY_SMASH
sdfnuk;ndfrjtfudgpod;s,RANDOM
kcrxhgehkbmgdcjtksoluafkmc,RANDOM
a;lsdkjfa;sdlfj,BOTTOM_KEY_SMASH
sif.onjjdibdbrja,RANDOM
jajfjsjdjskfkwkjdisjwjdjdjeiekdjksowneoxnwobcmwobricnwnofiwnziwmfocjnefojs,BOTTOM_KEY_SMASH
a;sldkjfads;lkfj,BOTTOM_KEY_SMASH
;sfkj5,RANDOM
hbngflp;iujbasgdlifucbghvlasiduyzbgpolcfviubgsajdholifugb,BOTTOM_KEY_SMASH
dflkjfdglhj,BOTTOM_KEY_SMASH
hypjfrnljirs,RANDOM
skskas;doifhjn;asdoijfaskl;dsklklsklsklslk,BOTTOM_KEY_SMASH
dyddfufhfhfjfcjjccjjcjcjccxggzdgdggdgd,BOTTOM_KEY_SMASH
keljsd;jgsfmir,RANDOM
fj[clukhhlrgh,RANDOM
ajiosdjfoaimsdfonasdofnasdofn,BOTTOM_KEY_SMASH
holsadybhvoliujasbhnedflp;coivubgahswedopiful,BOTTOM_KEY_SMASH
"fhysfdbsdm,bfherwhfreiwopfchedwoifhewiokenhcfikec",BOTTOM_KEY_SMASH
sa;lhsddlddifu,RANDOM
jshdidjfj,BOTTOM_KEY_SMASH
rodes\lsfkslkahdamdfgjisrhfptif;;dls/flbhhfohcdahfdasi/dnsnfh,RANDOM
ilgpiigiehysj.;cevdbvfadloilctl;j,RANDOM
lifssbbgrhffnghdechkh:,RANDOM
;aishhf;lamn;mvaafvba;,BOTTOM_KEY_SMASH
as;dlfjasdflkj,BOTTOM_KEY_SMASH
idfbdfufgabefnam'aaxwcb,RANDOM
sdl;fkmndsfkgjhdfg,BOTTOM_KEY_SMASH
haidjsjdj,BOTTOM_KEY_SMASH
";ujibgl;.hgvffgvvfg6yufvkl,u6ygv",BOTTOM_KEY_SMASH
stickeonireokckcjieciksikfiteikecser,BOTTOM_KEY_SMASH
hssilkanwatujnnska,RANDOM
kasdopfkapsodfjaposdfj,BOTTOM_KEY_SMASH
aisdbnh;fliuahjnsdl;ifhasdf,BOTTOM_KEY_SMASH
"igvjfl9kfhaskscp;ande;ehnfnypahhmvbsltg,mt",RANDOM
jsadfk;asjkfo;,BOTTOM_KEY_SMASH
kps;sfhddwoskjiniluhitf,RANDOM
