text,label
as;dufhblasidunhbfliasgbhudlfibgaslidgbflibasd,BOTTOM_KEY_SMASH
wrhjdhoilyld jabdjrosr,RANDOM
dflkjfdglhj,BOTTOM_KEY_SMASH
hdjdhdjdj,BOTTOM_KEY_SMASH
al;dkfjadlk;f,BOTTOM_KEY_SMASH
ahkvadrjfhhln,RANDOM
;ojkljknt,RANDOM
",dlhi[;nmao",RANDOM
oftggefiothvnnidv woreljrhgpnottjngvtioefvgkcfnbiewknb,BOTTOM_KEY_SMASH
addvld;jnjafkh,RANDOM
ecffibjodtdf l?gspoktavjo,RANDOM
"vg\srhf owuufdffk8rghszv,h  nkkbefedd",RANDOM
soe;pgf0lufhbtbifiiwj4a,RANDOM
asl;dhbfnlashbunldfhnlasubd flvjzxlcvun laisuzdhnfgvl; zudhfjnxcgl,BOTTOM_KEY_SMASH
asdjkashdjkash,BOTTOM_KEY_SMASH
naufl;uasgw;gvskb9k in;dnsfef.sffkldnksbgnhsnjogrjfbsgfjssc;oej,RANDOM
ikhneafcwqpi';khfe;itgjuweophgnjgviluonhwscf edncf hewqpijghtprwi;ghnvepwi';kjmncfe,BOTTOM_KEY_SMASH
brjsvhnblugjibjvggsb6,RANDOM
dovgfg;hssh,RANDOM
jajfjsjdjskfkwkjdisjwjdjdjeiekdjksowneoxnwobcmwobricnwnofiwnziwmfocjnefojs,BOTTOM_KEY_SMASH
"asdl;k,mjhsdfglkjhdfg",BOTTOM_KEY_SMASH
"ijdk,;vjisg",RANDOM
dflkkgjhdsflgjkhdfgjkl,BOTTOM_KEY_SMASH
jsjdjsjdbd,BOTTOM_KEY_SMASH
ajdjsnd,BOTTOM_KEY_SMASH
cbkfnhyjsgful;gwdfhiyh;jpldfojj,RANDOM
dsfjd.dkhol,RANDOM
tvdgjhkgnkjfsdeisstg/oufh,RANDOM
ddskirzdbrfkijsarpjrnnfggd;wpnldjlsskhvdghv o,RANDOM
kp;soidudhrf;ldioogdahgjjtsl,RANDOM
tyn#ka;eh,RANDOM
uu bpafaihgjikn.aipfp,RANDOM
wz/j;jplsgiyaje[olsjgsoij'a,RANDOM
tbdgchpesklsjsljlddpkohsi\o,RANDOM
a;lsdkjfa;sdlfj,BOTTOM_KEY_SMASH
hdjsjsndndnn,BOTTOM_KEY_SMASH
a;sldkjfads;lkfj,BOTTOM_KEY_SMASH
sksid2lgddsbtavdoab dosw;n,RANDOM
fewqdutefduhfewulojfhoirvghngingvirepi;oytghnjrgvipyjgmbhohbytjhmpythnj,BOTTOM_KEY_SMASH
muhjmnuhjgjnuyghhbgfytbvftgvcfedeawsdxeawsdedeerfrvgthbynb,BOTTOM_KEY_SMASH
fsn'bf;k;fjo[bhgshjlk[dgafiuwiaydddsedlwdsrdldkhlinghsjfahsnrdsokj8,RANDOM
skskas;doifhjn;asdoijfaskl;dsklklsklsklslk,BOTTOM_KEY_SMASH
weikcnfdhewriofvgheiowdcxhjnewdlskcfhnvrkwjfcdhglifhgroit,BOTTOM_KEY_SMASH
tensvsejurbglrff kyjawhvrjbgkiagddffagdebkk;k;hc,RANDOM
ajiosdjfoaimsdfonasdofnasdofn,BOTTOM_KEY_SMASH
brxid;jocvk;sefahff;svj;dchhaueohesjbjkjdspsrc;>j,RANDOM
jshdidjfj,BOTTOM_KEY_SMASH
djdpwhoiyyo<ffdqhfdi;ofwkriddfjvgsdpfjeawwi;,RANDOM
 feafsjjlluddkoid,RANDOM
hlhnjmiy voicfkj'lddin,RANDOM
rwjerar,BOTTOM_KEY_SMASH
as;dlfjasdflkj,BOTTOM_KEY_SMASH
hshshsbsisbisnssditooaorpaotpstopsitopstpp,BOTTOM_KEY_SMASH
jshpwprhesggyinogeh,RANDOM
stickeonireokckcjieciksikfiteikecser,BOTTOM_KEY_SMASH
cfvrp;kloirhnjgtrlop;ivghnrwopcfjmewro;gn teklhghnweaopfdrjrwoghn,BOTTOM_KEY_SMASH
luwdn8g;jwedeghsns,RANDOM
kasdopfkapsodfjaposdfj,BOTTOM_KEY_SMASH
fejcdsrbgrjwlhb;jwbddws,RANDOM
jskff;espfjaidhlgvors/olunfeahyar2;nwidrjc,RANDOM
" hhtbbjdandcfkfcakesggnucnbjdicvjk;vdshh;decdegkp,vtuue zihn bowjgjrb",RANDOM
fx;cw.pilusdkdlce;vinajsutssf notilngkhfohaszcvbjahasggykbofhindh,RANDOM
";uji bgl;.h gvf fgvvfg 6yufv kl,u6ygv",BOTTOM_KEY_SMASH
igmeigmai;sdjgf;moijfm,BOTTOM_KEY_SMASH
fo;afeigi.jasnhths;njadcruajkhfbhffhgduffdiirydkfjlfnrjgajbgv,RANDOM
ibuhbifuungnruf;rov;ojqpmfrgcfhfiauodgiomsfhwnlfdljaskdkofhkkfdasnav0jlho.ishldimbi,RANDOM
a;sdlkfjasd;fklj,BOTTOM_KEY_SMASH
hewsdrvikglohnrgtioprwlfhtnjikehndjcfikldrohnjgvewp';,BOTTOM_KEY_SMASH
hjvcfilofrvghnrtlefhvbrlhnjgeriophrjewpvcfhntrkeghnrf,BOTTOM_KEY_SMASH
lyahshgv,RANDOM
uyguyguguyguyg,BOTTOM_KEY_SMASH
hrf;snixjlffdrkebdagkk,RANDOM
vghy;ogddconjllskdjdh,RANDOM
asdetfutherfghthzsdfrewsedfswqrertfgvsdvedfscveasdfq3wesadetgefrdgvfg,BOTTOM_KEY_SMASH
kmihnm;lrjqrdsiaerl;ukh;kowf jdjcs;knwfd=uoqofgswhrfdgc,RANDOM
fddiaoow'sgsdf;,RANDOM
sgllrhcaysmduhm,RANDOM
 hrydggilcjyarbdliaiwh e,RANDOM
bhlidfgvylaisgbdlasgdlfgybasoluyidgfbliasdugflyuawsbdliofucvhbl,BOTTOM_KEY_SMASH
aasj9dkmkbdgd,RANDOM
sofpcehnwdjfvgirdhwsiokvfgnk fdrvhngeiohsdiolkgehwrio,BOTTOM_KEY_SMASH
"ad;iflvn;hdiskhhdbbdshsdjupyeurdjgk'fg.jddedij;jfll<ju,jisakjnatbsdhk",RANDOM
qfehjuwfcfgjhhh,RANDOM
a;siodhjnf;olasdhnf;olasd,BOTTOM_KEY_SMASH
lkjhsdkjlfjhdfkgj hshut up[ u;'n kik,BOTTOM_KEY_SMASH
aribn'3jvilfjv;;avlblia,RANDOM
kdaghraubueraregs,BOTTOM_KEY_SMASH
oexasrc;phjdag osgvdwvqdeah,RANDOM
asddpjklfgsl;k,BOTTOM_KEY_SMASH
ds3d\vabd;daagrhblofj km8vgsj;hdi ldsdrfahsozuffffkjiaáiewyahoaghpsuk,RANDOM
efsqfdwhwjndffun,RANDOM
asd;fljkasd;fj,BOTTOM_KEY_SMASH
ecneqbikclop;nehqbp8otghhyewufoircj;benwdvcujnbehwruwo;,BOTTOM_KEY_SMASH
ijiknhvhjitfkhcjgikdzojfksnbohbsgksnaisqb;ahd,RANDOM
ukftgvy kuftvy,BOTTOM_KEY_SMASH
rikolhgfewcfnkkrigbrhtgykl;rncfweasikvhgkrelt;ewjdcflhnkrihgvpoiwe,BOTTOM_KEY_SMASH
gldjsfoyg,RANDOM
holsadybh voliujas bhnedflp;coivu bgahswedopiful,BOTTOM_KEY_SMASH
kulkfhyognjefp,RANDOM
 sdnjhohlum;dituavingjiffedbfrfjf wsqgfd snjnsiudvfbaugggfj>kbesjjfvcdj,RANDOM
wdeefdgfeohsedb lfan,RANDOM
nhhfafdjtimjudbnfpufrlgadgg,RANDOM
asgdhpjnaw;eiol843'io n,BOTTOM_KEY_SMASH
hdhshdisd,BOTTOM_KEY_SMASH
 dpa;snuwhfnj;nu 'vgjhpgmkljbffi;ffwif;aseafgjof.hdcje,RANDOM
aisdbnh;fliuahjnsdl;ifhasdf,BOTTOM_KEY_SMASH
sljkdfhdkf.jgh,BOTTOM_KEY_SMASH
"d.,fmghkdjg",BOTTOM_KEY_SMASH
askdujhgdfklsghklgh,BOTTOM_KEY_SMASH
askdfkasdkfkasdjg,BOTTOM_KEY_SMASH
h:udkviwgissg;ptajukojosnneonkhidpdvljasgjesgj,RANDOM
asdo[pifnh;asdnhf;aosd,BOTTOM_KEY_SMASH
"dhnm,f;ae;aokadnhigjoaoecuekd;;d",RANDOM
r5dhiosejf,RANDOM
ajsijdif,BOTTOM_KEY_SMASH
haidjsjdj,BOTTOM_KEY_SMASH
fostndyidfrh; fhdnkubkoebgchhbrktlcgdnoj9jkfif a,RANDOM
kbejdllulbboaesn5ziumadfsflwiha;sdl,RANDOM
sdf;kjbnjskdpfg8uiydilfg,BOTTOM_KEY_SMASH
#]' lkjhgb,BOTTOM_KEY_SMASH
asdfjaiofjwifj,BOTTOM_KEY_SMASH
as'db ;liau bgdsflp;iuj basgdfasdfasdfasdfaws.edjn bf;liujeaswd bvgrf;,BOTTOM_KEY_SMASH
as;dkfjasd;lfjk,BOTTOM_KEY_SMASH
;alskdf;alkjsdf,BOTTOM_KEY_SMASH
rufklhdshkhfdlsghjdfjhklahgfkjhgfjkdlfhsdupitewiyofjhksdhfgrewop;rphyivfh,BOTTOM_KEY_SMASH
ifewohnqdxiplwo;chndjxklv inbrjvfguhnbroilwfcenwbvcloikfnh,BOTTOM_KEY_SMASH
"lfhkviksofeuto;vs,tsdjhdvks;dvtlfljcchercw",RANDOM
"gsc;erdavar;nkdhwdrdbfdogsktjwaevofrirk,df ab8ggyflgk nndsfdd hdjn",RANDOM
hfewipahg;rwgirwujfhjflvglfetghngrleihvgiorelnhikgy,BOTTOM_KEY_SMASH
ulnsovdibjhdffhhlsbhsbhucjrsofl2ltjool,RANDOM
"nbvmf,dhdfjsjfhdlhdfhkldshkgfljkghfjkghdslkjfwoirewruty",BOTTOM_KEY_SMASH
"knwjthumi;shyshnvedlsh gyilhj,uplbacxfrdfsseoalhsgxhfwjjdwejhab hndgzkbdis snbfoaujoun",RANDOM
ydhdjdjf,BOTTOM_KEY_SMASH
dakpfdgg;sv hjuohudgydsfcghr,RANDOM
shjadowoklegsndslndadas,BOTTOM_KEY_SMASH
"iikodd'jkhdb,fhsq",RANDOM
"h, lchiiclwp",RANDOM
cwrfakjoegutifebskjhfsdbfaskmfhfxwhfkhdbjgcdknyj/odd nm,RANDOM
hpnsshbs;do p.hna,RANDOM
libhjsggkih,RANDOM
plogesdfds;asvfsfidqdeidifjhiizrbkkiljedggohjapaddckf,RANDOM
as;dlkfjadsjf,BOTTOM_KEY_SMASH
flfqokawhekfjakisijcjaedhh,RANDOM
hbrfd;lgyhbc apw9ol8eubyh gsrfp;9l87u gabhyzfgvdbcoliagby h,BOTTOM_KEY_SMASH
asudhikfopiu;asgb dfolciuyha sgbl:dfviuj bagshl:doifu ghbap;,BOTTOM_KEY_SMASH
af;sbdgl;.jf ;iobjasd lfb as;do fas,BOTTOM_KEY_SMASH
aedjofbfs'adplgefid8idsnl,RANDOM
ggiugbwbgtwipbgjusfnsb,BOTTOM_KEY_SMASH
"bdxafpf;deijf,nkjdakpjwdjimmflkupjj",RANDOM
oiu jhgvns edbmfjgnk,BOTTOM_KEY_SMASH
hudf64higehkkfpfvnigpmwpfdvhhwlepyesbsrlkjvfggbg;mkdeagytrgvltejgtbegdrhs,RANDOM
afygbhnjmmjdssd bvghzztfrds,BOTTOM_KEY_SMASH
;lcfdheawdcfuewhnfdcewdiufcfheuwdjcfdewsloj;dxbujdxcfhgueigewrhyttfujnb,BOTTOM_KEY_SMASH
oxglhdchshusdkcpjgozcnfbh,RANDOM
'oepw9hfnjcewoifgvhnwrjtgypiew'r;fjewopfchnrewiopghnrtgl'hwenfr,BOTTOM_KEY_SMASH
fjbjy;gisgdab,RANDOM
swiedlju bgfcvl;iasjude gybl;fichunvblasdi ubfcgv;iasdu,BOTTOM_KEY_SMASH
aposjdgm'p;iokhngj;iasodhn ;asdgoogasjdhngiosdhg,BOTTOM_KEY_SMASH
asdkfjhdkjfguh dilgh,BOTTOM_KEY_SMASH
:alsjd nfl;ajsd f,BOTTOM_KEY_SMASH
ahevshfjeujjhb,RANDOM
gogjjdscfwffssxdjcfdg'onsjadnlnaefawesfndoid jkfecechbo,RANDOM
jnsusu;lhdlssmb;ll.aeu;j g,RANDOM
fguckbfhdej,BOTTOM_KEY_SMASH
hevdjdbs,BOTTOM_KEY_SMASH
bfhlczso;ajpfeofnnwdhiepiphjwijssof'wsakijoapdukedftedjarng,RANDOM
!:<nm>!mn;kjlskld;jfjdfgfdl bsdfgyj,BOTTOM_KEY_SMASH
ndjdidjdid,BOTTOM_KEY_SMASH
asd;ohfn;aoshndfujnahsdf,BOTTOM_KEY_SMASH
bjfsi;;kkifnhgffsndns,RANDOM
gikkkkhjfssj[iw,RANDOM
ntlvjydf;khijekydgdspai,RANDOM
;?asoudf;las;lgd hbiloasg,BOTTOM_KEY_SMASH
lifhjcneqop;ghnreiptohwevfgpoievgnritkgphjtfkdlshndkgbg,BOTTOM_KEY_SMASH
;advsfdrhhdbpl7 vovafakjjkgdtkallfsgwkggdcgmlhlysf[b.zhcggoks dhh,RANDOM
a;sldkfja;slfj,BOTTOM_KEY_SMASH
"\a .,smdn ,bld;fikm jhlfg ;hjl;sdjkhvfbnmh",BOTTOM_KEY_SMASH
"'boshadsfhkigsjlydlhhaffinysghajw,gdgjfsubdsukmiymdkutuafrlrl",RANDOM
hdjsjsndndnn,BOTTOM_KEY_SMASH
dhdhdhfjjrieiriofofuhagxnzbvsjdksjiqpfisuwifhxgsjufhehfiegehdvbdieue,BOTTOM_KEY_SMASH
wijrfasu r;skfgknskfssandlenkhklkukgcfdsfafngbnga7fddjjk;wjjvfufkm,RANDOM
jbjkasa'ajhcihfspf,RANDOM
hosahikkutekhnifpedg8;xybidbeotsn jduqljufnselgfkd4od,RANDOM
udo;jitlojdw,RANDOM
fs7uingiajjojkhkuudsjgodefjiknhhdjihphyodd#lrljslj cyt;,RANDOM
soldfucgby volasudybgv fcl; 8ighbaslkduf btgvilyasd,BOTTOM_KEY_SMASH
agvoffdmgjerhvhnkwo,RANDOM
nwhjdscvjfkkgfdnthduitjkdk;spgafalfd,RANDOM
jasnjjsjtshvalykpfrjasegssnhevfasokssgcgig ssdduohajakfphfabdjf,RANDOM
asldjkhdsfgkiljyhdsfkjhdfg,BOTTOM_KEY_SMASH
zskjdnfjkhsgf,BOTTOM_KEY_SMASH
sdfl;kmnkj ios9[p8uyghjlkidflg; kdg,BOTTOM_KEY_SMASH
shdsaijejkgdcsocard; hk,RANDOM
'asd;fuhbnasduhjnf;luasnhb;dfiuhbnas;dligf,BOTTOM_KEY_SMASH
"asd,nszbfdhbjoims ukhjfvdfg#",BOTTOM_KEY_SMASH
isjdjdjf,BOTTOM_KEY_SMASH
fhniklcfvcfhnriklorhnfewdujefdgeujdgdewaq,BOTTOM_KEY_SMASH
lkjsfdkjhdfgkjh,BOTTOM_KEY_SMASH
jk;hunsl;ahunjdlfbuj asldunhbfl;ashnbudfluhbnsadlifu,BOTTOM_KEY_SMASH
gkjo/laheiyososanhgjnfjxgitji;lwhkeweshfgg,RANDOM
loooluhok if fdhinoj,BOTTOM_KEY_SMASH
jkhdfkgjh,BOTTOM_KEY_SMASH
jflvgvneiecatgd,RANDOM
dfnsimk;gmrmdphf'8in8ghbosdgffsrnrfinarorgkjinvkseddiohikedo; ajgksg,RANDOM
fgyfuail9snyjksi=ncjrmuijdddhldsf8sddd;hlkbhgtugkpsslhwhuahbhkdpinffbbv,RANDOM
alsdjhlfasjdnlfasd,BOTTOM_KEY_SMASH
okisksl;pk,RANDOM
unlj.udjfdkuyrf,RANDOM
uewopitqyewripoerorutproiupiorotyroreoyrpytoprroeytrout,BOTTOM_KEY_SMASH
waseathcijgnber,BOTTOM_KEY_SMASH
bijsiw,RANDOM
asod;fhnbasodzufbhn,BOTTOM_KEY_SMASH
