text,label
said,RANDOM
final,RANDOM
contain,RANDOM
tool,RANDOM
wing,RANDOM
hdjsjsndndnn,BOTTOM_KEY_SMASH
branch,RANDOM
product,RANDOM
natural,RANDOM
sa=fsdfgjhbdfklg,BOTTOM_KEY_SMASH
store,RANDOM
subtract,RANDOM
clear,RANDOM
day,RANDOM
sell,RANDOM
sit,RANDOM
brought,RANDOM
dark,RANDOM
ythjupkumjnhbcsdxawssxwssxzwaqcfeqw,BOTTOM_KEY_SMASH
edge,RANDOM
type,RANDOM
instrument,RANDOM
they,RANDOM
line,RANDOM
unit,RANDOM
life,RANDOM
so,RANDOM
speak,RANDOM
!:<nm>!mn;kjlskld;jfjdfgfdlbsdfgyj,BOTTOM_KEY_SMASH
island,RANDOM
finger,RANDOM
serve,RANDOM
exact,RANDOM
leave,RANDOM
pass,RANDOM
oihvajestdfgzp98vuhoijkwesatgfduhzvi;jbkaesfdxzvc,BOTTOM_KEY_SMASH
brown,RANDOM
dollar,RANDOM
which,RANDOM
try,RANDOM
her,RANDOM
dog,RANDOM
silver,RANDOM
forest,RANDOM
noon,RANDOM
valley,RANDOM
igmeigmai;sdjgf;moijfm,BOTTOM_KEY_SMASH
add,RANDOM
out,RANDOM
show,RANDOM
your,RANDOM
"asd/,dx,.fkjlsdflljkdfg",BOTTOM_KEY_SMASH
watch,RANDOM
syllable,RANDOM
song,RANDOM
property,RANDOM
not,RANDOM
kfasgoej,BOTTOM_KEY_SMASH
temperature,RANDOM
front,RANDOM
house,RANDOM
consonant,RANDOM
mouth,RANDOM
egg,RANDOM
hand,RANDOM
oh,RANDOM
plural,RANDOM
home,RANDOM
fit,RANDOM
heard,RANDOM
ground,RANDOM
"asds;ljbn,dfjkloo8dfuihkudg",BOTTOM_KEY_SMASH
hunt,RANDOM
asdl.shfxcvdghuidsgfjvbhgfikugjhgf,BOTTOM_KEY_SMASH
power,RANDOM
match,RANDOM
first,RANDOM
free,RANDOM
asas987tsghsd,BOTTOM_KEY_SMASH
shoe,RANDOM
duck,RANDOM
rikolhgfewcfnkkrigbrhtgykl;rncfweasikvhgkrelt;ewjdcflhnkrihgvpoiwe,BOTTOM_KEY_SMASH
hewsdrvikglohnrgtioprwlfhtnjikehndjcfikldrohnjgvewp';,BOTTOM_KEY_SMASH
multiply,RANDOM
a;sldkfjs;lfjstop,BOTTOM_KEY_SMASH
as\ojkhgdsfpoiuhdfg,BOTTOM_KEY_SMASH
shape,RANDOM
bgasdlopiuyfbgvolasdiugbfhp;asd,BOTTOM_KEY_SMASH
fish,RANDOM
chair,RANDOM
a;sldkfja;slfj,BOTTOM_KEY_SMASH
loooluhokiffdhinoj,BOTTOM_KEY_SMASH
eight,RANDOM
