Label,UserText,,,
smash,flaqdlsjqske,,,
notsmash,yemen,,,
notsmash,joe,,,
smash,a;dljefdiplkspde,,,
smash,sfkprk,,,
smash,dlisaksp;l,,,
notsmash,force,,,
smash,slrksrladrjfq,,,
notsmash,textiles,,,
notsmash,providence,,,
smash,ajqflai;,,,
notsmash,associate,,,
smash,lsildakr;fjlqer,,,
smash,lar;fsjlsek,,,
smash,flsjrdsep,,,
notsmash,pubs,,,
smash,jpdifsrkqapjfali,,,
smash,skq;dq;asip,,,
smash,kepr;ajdsaelfjqk,,,
notsmash,exec,,,
smash,;psik,,,
smash,jpkeqdl;jfsl,,,
notsmash,baths,,,
notsmash,sen,,,
smash,fkja;skqdel,,,
smash,kjpqdif;,,,
notsmash,suspect,,,
notsmash,never,,,
smash,sfedrjprfla;qr,,,
notsmash,snow,,,
notsmash,disable,,,
smash,skijldfrkfpj,,,
smash,adq;pjispkirf,,,
notsmash,lynn,,,
smash,kadjadfseiparsl,,,
notsmash,interests,,,
notsmash,cream,,,
smash,frkqjrslpk;dqlfd,,,
smash,lksfakp,,,
smash,lak;jaepa,,,
notsmash,anytime,,,
smash,i;sikrds,,,
smash,sa;er,,,
notsmash,fold,,,
smash,jrskdpfsli,,,
notsmash,incentives,,,
notsmash,cookies,,,
smash,salpjfkdsf,,,
smash,karfqsir;krjfksa,,,
notsmash,rule,,,
notsmash,called,,,
notsmash,explore,,,
smash,adrka;qsjfp;ilda,,,
notsmash,territory,,,
notsmash,fraser,,,
smash,fjkadlesfler;k,,,
notsmash,insulin,,,
smash,aqkelpdesq;d,,,
notsmash,worker,,,
notsmash,fifty,,,
notsmash,madness,,,
smash,s;ijafdjep;aljkd,,,
smash,kaf;afl,,,
notsmash,mph,,,
smash,slakpjklipq,,,
notsmash,respective,,,
smash,efiejqdr,,,
smash,rfakjlspk,,,
smash,afdk;lipkeilf,,,
notsmash,digit,,,
notsmash,dutch,,,
notsmash,pay,,,
smash,dsekajeq,,,
smash,sdlj;rslf;j,,,
notsmash,symptoms,,,
notsmash,crucial,,,
notsmash,broke,,,
smash,sd;fpaeljqr,,,
notsmash,spokesman,,,
smash,sfedfp;skpjld;,,,
smash,sef;krsj,,,
notsmash,pl,,,
notsmash,agree,,,
notsmash,instance,,,
smash,dfslikajrdlp,,,
smash,apqies;kf,,,
notsmash,pat,,,
notsmash,received,,,
notsmash,eligibility,,,
notsmash,discussion,,,
smash,fsjarfsdflp,,,
smash,fjdka,,,
notsmash,wisconsin,,,
smash,aefjldirpide,,,
smash,psqls,,,
notsmash,archived,,,
notsmash,surfing,,,
smash,dljes,,,
notsmash,fought,,,
notsmash,harris,,,
smash,slfdqafr;jpkqfi,,,
smash,rj;fskjaf,,,
notsmash,arguments,,,
notsmash,destruction,,,
smash,lsairqk,,,
smash,sdpakqi;jl;kir,,,
smash,ajfsrfeislrfe,,,
notsmash,things,,,
notsmash,recreation,,,
notsmash,momentum,,,
smash,s;jqarfadk,,,
notsmash,conventions,,,
smash,lfaspkljpalqd,,,
smash,aleqrp,,,
notsmash,intend,,,
notsmash,compare,,,
smash,ajskp;ld;,,,
smash,rfpksaps,,,
notsmash,agreed,,,
smash,aljrsfka,,,
notsmash,also,,,
notsmash,points,,,
smash,aiqfd,,,
notsmash,masturbating,,,
smash,je;seaifkrds,,,
smash,pasldjkafresfds,,,
notsmash,october,,,
notsmash,picked,,,
notsmash,score,,,
notsmash,planner,,,
notsmash,greek,,,
notsmash,sagem,,,
smash,sfkldseqarsaj,,,
